"entrezgene_id","ensembl_gene_id","hgnc_symbol","external_gene_name","log2FoldChange_soft_stiff","stat_soft_stiff","padj_soft_stiff"
"1",1,"ENSG00000121410","A1BG","A1BG",1.53807567687062,8.22304225839852,1.11559966748966e-15
"2",2,"ENSG00000175899","A2M","A2M",1.14766581217153,1.00754971008925,0.39702004190712
"3",9,"ENSG00000171428","NAT1","NAT1",-1.14773479654946,-4.40888906829668,2.82799668817157e-05
"4",12,"ENSG00000196136","SERPINA3","SERPINA3",0.769470838562783,4.21221440727131,6.6077895974546e-05
"5",13,"ENSG00000114771","AADAC","AADAC",-0.0633197212967501,-0.236571907896204,0.85839659125748
"6",14,"ENSG00000127837","AAMP","AAMP",-0.743507056003302,-9.2012222441598,2.39568076648941e-19
"7",15,"ENSG00000129673","AANAT","AANAT",0.0690006887201243,0.110565926566899,0.934416446404209
"8",16,"ENSG00000090861","AARS1","AARS1",-0.149264904089239,-1.95861333435173,0.080718949821122
"9",18,"ENSG00000183044","ABAT","ABAT",2.68524249239429,6.16817040356418,2.62073454295716e-09
"10",19,"ENSG00000165029","ABCA1","ABCA1",-0.402566784309231,-4.32280706147995,4.11807108915404e-05
"11",20,"ENSG00000107331","ABCA2","ABCA2",1.44809459947849,16.4657299561226,2.07983803187387e-59
"12",21,"ENSG00000167972","ABCA3","ABCA3",1.83464085877835,6.04378065813614,5.58292734342552e-09
"13",22,"ENSG00000131269","ABCB7","ABCB7",0.648555960394531,7.22908498988002,2.24917034737127e-12
"14",23,"ENSG00000204574","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"15",23,"ENSG00000236149","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"16",23,"ENSG00000225989","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"17",23,"ENSG00000232169","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"18",23,"ENSG00000236342","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"19",23,"ENSG00000206490","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"20",23,"ENSG00000231129","ABCF1","ABCF1",-1.22041799462126,-16.2887952392022,3.64832898748721e-58
"21",24,"ENSG00000198691","ABCA4","ABCA4",1.5335421287325,2.08285567538238,0.0618523745247781
"22",25,"ENSG00000097007","ABL1","ABL1",0.613982919361764,8.56611376535336,6.424856209022e-17
"23",26,"ENSG00000002726","AOC1","AOC1",-6.48965569584466,-4.92760455675381,2.49557633861752e-06
"24",27,"ENSG00000143322","ABL2","ABL2",0.187045181887141,2.75098428443542,0.0114969151821074
"25",29,"ENSG00000278741","ABR","ABR",-0.351792984608795,-4.1692293339774,7.91316277844744e-05
