"ensembl_gene_id","external_gene_name","baseMean","log2FoldChange_HAS2","lfcSE_HAS2","stat_HAS2","pvalue_HAS2","padj_HAS2","DEG_HAS2","log2FoldChange_HAS3","lfcSE_HAS3","stat_HAS3","pvalue_HAS3","padj_HAS3","DEG_HAS3"
"ENSG00000023171","GRAMD1B",270.530998506699,1.48903026550594,0.203680489849112,7.31061804991251,2.65916411542086e-13,1.13390649341227e-10,TRUE,2.02245739965592,0.202008609975779,10.0117386080643,1.35352643815952e-23,3.23083198876999e-21,TRUE
"ENSG00000027869","SH2D2A",625.124361875775,1.20151125241708,0.211802305400159,5.67279591290122,1.40485559394983e-08,1.93394412197047e-06,TRUE,1.53933644205761,0.211370111190929,7.28265899745464,3.27303825022456e-13,2.03343105812753e-11,TRUE
"ENSG00000038295","TLL1",151.716938128696,1.28864634771813,0.198379405667698,6.49586756942259,8.25562560337163e-11,2.09178409309777e-08,TRUE,1.89269020437,0.194791692106211,9.71648320267173,2.56487253068525e-22,5.53920864037633e-20,TRUE
"ENSG00000053747","LAMA3",11808.2569980625,1.52493690459675,0.209723371279703,7.2711824881118,3.5635414199954e-13,1.48336653918523e-10,TRUE,2.51034831202213,0.209650616231669,11.9739610459725,4.86493676839693e-33,3.53019271661955e-30,TRUE
"ENSG00000058085","LAMC2",41868.7250504315,1.62422048424856,0.17017143433233,9.54461299936276,1.3661671676155e-21,1.99039171595181e-18,TRUE,2.31667370627778,0.170154502680311,13.6151184352164,3.25617450063219e-42,3.93801744106457e-39,TRUE
"ENSG00000059804","SLC2A3",345.706074530284,1.4510073933706,0.204525916193164,7.09449159489499,1.29827865041457e-12,4.53956112903957e-10,TRUE,1.96078249973902,0.203282884125495,9.64558579623726,5.13173515947754e-22,1.05789554009184e-19,TRUE
"ENSG00000064655","EYA2",137.24297247474,2.30385690368882,0.241316089943302,9.54705052709133,1.33441216787569e-21,1.99039171595181e-18,TRUE,2.34108040712779,0.241307221052044,9.70165914190724,2.96635127444414e-22,6.33089158466955e-20,TRUE
"ENSG00000065618","COL17A1",6257.31870255454,2.35519529778896,0.443363526608858,5.31210881464039,1.08363861980144e-07,1.14819721151446e-05,TRUE,2.980302325936,0.443326479732712,6.72259037568175,1.78521938029595e-11,8.50017448240128e-10,TRUE
"ENSG00000073282","TP63",417.117363149907,3.04601637495729,0.389773959202494,7.81482780735189,5.50382175463336e-15,3.31804537021569e-12,TRUE,3.71597869730364,0.389107476016637,9.55000591441927,1.29688885023159e-21,2.52976996043562e-19,TRUE
"ENSG00000074410","CA12",3739.6748794982,1.37922576983865,0.151051242781901,9.13084688637806,6.79655097187885e-20,8.487435760097e-17,TRUE,1.96646620159773,0.150868982317417,13.0342643755655,7.81167857142489e-39,7.458508471801e-36,TRUE
"ENSG00000082074","FYB1",162.854066916571,1.84385392075992,0.234261487115996,7.87092211980589,3.52036744930991e-15,2.36717631216481e-12,TRUE,2.50403993983908,0.23129145234477,10.8263401628283,2.58272865337821e-27,9.76110010436126e-25,TRUE
"ENSG00000085117","CD82",742.000093568361,1.30136615407168,0.243438116433881,5.34577811041,9.00294449397243e-08,9.87299277725791e-06,TRUE,1.32448462448551,0.243452385818569,5.44042573266285,5.31533950865012e-08,1.38343721702183e-06,TRUE
"ENSG00000086570","FAT2",783.762774925975,3.2816345100918,0.429693917336866,7.63714443627812,2.22092309942564e-14,1.25252898539543e-11,TRUE,3.81518906555857,0.429446056905321,8.88397740347561,6.45113989676009e-19,8.73359170650186e-17,TRUE
"ENSG00000086696","HSD17B2",334.424480892784,2.46522380096981,0.265549086272224,9.28349570159175,1.64007456377231e-20,2.2056479691101e-17,TRUE,2.88385137032011,0.264806853223148,10.8903955287363,1.28082783652728e-27,4.94372293243434e-25,TRUE
"ENSG00000089472","HEPH",88.0542848693497,4.26730622566441,0.364469693823767,11.7082607908898,1.15627099258889e-31,6.73836192114386e-28,TRUE,3.63613340585159,0.367934338972856,9.88256061122862,4.95502732622286e-23,1.10974260154332e-20,TRUE
"ENSG00000099139","PCSK5",55.9316414979863,2.03035274567907,0.321153542255186,6.32206243599757,2.58095048413297e-10,5.71174143216413e-08,TRUE,2.34523055630379,0.31839908472026,7.36569503132923,1.76226276782192e-13,1.13769426587393e-11,TRUE
"ENSG00000101384","JAG1",1505.41734389686,1.07969735318351,0.141966671792409,7.6052874914353,2.84271252765531e-14,1.50603464003024e-11,TRUE,1.63301124681922,0.141500566332949,11.5406693353916,8.22824422669426e-31,4.66464307863939e-28,TRUE
"ENSG00000104140","RHOV",226.564881586836,1.25705777367093,0.228849373632945,5.492948281725,3.95278577377789e-08,4.79906622798326e-06,TRUE,1.53002803083518,0.227986517906194,6.71104609556217,1.9323404879614e-11,9.12879916461141e-10,TRUE
"ENSG00000105048","TNNT1",1063.82269465745,1.284764573454,0.156041988842999,8.23345423228782,1.81890891533671e-16,1.44545384394689e-13,TRUE,1.34305308928731,0.156017182964148,8.60836648740115,7.41090050700555e-18,8.78700301291422e-16,TRUE
"ENSG00000105894","PTN",44.3911142013921,1.74899850398363,0.344300097585391,5.07986641958432,3.7770035433426e-07,3.20550257030382e-05,TRUE,2.16607431354487,0.339778393926681,6.37496189358137,1.83008449572876e-10,7.21729626891641e-09,TRUE
"ENSG00000106278","PTPRZ1",83.4908513150604,2.31688974592594,0.322777196328426,7.17798460449016,7.07465245288648e-13,2.68882932247423e-10,TRUE,3.3260243873392,0.316130354338965,10.5210535517666,6.90965873673027e-26,2.16117446798317e-23,TRUE
