,ngram,False,True,n,False_q,True_q,fpr,fpr_sig
1291,IPR001965|IPR041306,0.9936084195799628,0.03609635497938146,10.0,1.0,0.1777977590435526,0.01,True
1292,IPR001975,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.02,True
1293,IPR002004,0.9636627765531273,0.19060504021099728,6.0,1.0,0.46495601023341643,0.3,False
1294,IPR002004|IPR000569,0.6454476892363556,1.0,3.0,1.0,1.0,0.48,False
1295,IPR002014,0.9984886650042677,0.020191009600528883,5.0,1.0,0.11396532663553348,0.04,True
1296,IPR002014|IPR004152,0.7468702812489645,1.0,2.0,1.0,1.0,0.95,False
1297,IPR002018,0.7560615614775611,0.6400188695026718,7.0,1.0,0.866381320073436,0.7,False
1298,IPR002035,0.9999837683723676,5.750700676965057e-05,59.0,1.0,0.002268234381517439,0.62,False
1299,IPR002035|IPR000742,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.71,False
1300,IPR002035|IPR000742|IPR000742,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.61,False
1301,IPR002035|IPR002035,0.997499924633707,0.05028453472581799,3.0,1.0,0.19723458202665697,0.28,False
1302,IPR002035|IPR002035|IPR002035,0.997499924633707,0.05028453472581799,3.0,1.0,0.19723458202665697,0.06,False
1303,IPR002035|IPR003961,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.59,False
1304,IPR002035|IPR003961|IPR003961,0.6454476892363556,1.0,3.0,1.0,1.0,0.96,False
1305,IPR002035|IPR006164,0.7468702812489645,1.0,2.0,1.0,1.0,0.3,False
1306,IPR002035|IPR013680,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.25,False
1307,IPR002035|IPR019466,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.5,False
1308,IPR002035|IPR048287,0.9636627765531273,0.19060504021099728,6.0,1.0,0.46495601023341643,0.23,False
1309,IPR002048,0.9999999793814127,5.307729486946328e-08,205.0,1.0,6.529771014059923e-06,0.93,False
1310,IPR002048|IPR000909,0.7468702812489645,1.0,2.0,1.0,1.0,0.69,False
1311,IPR002048|IPR001849,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.13,False
1312,IPR002048|IPR002048,0.9330461731150635,0.1342122063030227,44.0,1.0,0.39276659732212593,0.97,False
1313,IPR002048|IPR002048|IPR002048,0.7560615614775611,0.6400188695026718,7.0,1.0,0.866381320073436,0.88,False
1314,IPR002048|IPR002219,0.6491641453071706,0.7311796200243008,9.0,1.0,0.9802815507694764,0.83,False
1315,IPR002048|IPR002219|IPR002219,0.48203586763882567,1.0,5.0,1.0,1.0,0.83,False
1316,IPR002048|IPR003108,0.9984886650042677,0.020191009600528883,5.0,1.0,0.11396532663553348,0.0,True
1317,IPR002048|IPR003598,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.01,True
1318,IPR002048|IPR003598|IPR003598,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.01,True
1319,IPR002048|IPR006615,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.24,False
1320,IPR002048|IPR006615|IPR028135,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.17,False
1321,IPR002048|IPR013566,0.7468702812489645,1.0,2.0,1.0,1.0,0.8,False
1322,IPR002048|IPR013566|IPR020860,0.7468702812489645,1.0,2.0,1.0,1.0,0.73,False
1323,IPR002048|IPR014837,0.9952889979064296,0.02024775882551185,17.0,1.0,0.11396532663553348,0.05,True
1324,IPR002048|IPR014873,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.07,False
1325,IPR002049,0.9999899482287476,4.491314958004582e-05,41.0,1.0,0.0018551351583080413,0.12,False
1326,IPR002049|IPR000034,0.9999284694235714,0.0005305705999991305,16.0,1.0,0.01263344834191478,0.0,True
1327,IPR002049|IPR000034|IPR002049,0.999922401180972,0.0006821181389018885,13.0,1.0,0.015323932276982859,0.0,True
1328,IPR002049|IPR000742,0.9999738207265393,0.00013997162356321608,28.0,1.0,0.004464403573772454,0.04,True
1329,IPR002049|IPR000742|IPR000742,0.9999789476238122,0.00012778148256538372,24.0,1.0,0.004373314209977207,0.04,True
1330,IPR002049|IPR000742|IPR002049,0.8882010414340457,0.35083585469282935,9.0,1.0,0.5610939631594948,0.44,False
1331,IPR002049|IPR001134,0.6454476892363556,1.0,3.0,1.0,1.0,0.91,False
1332,IPR002049|IPR002049,0.9915957159625859,0.02854671238465355,23.0,1.0,0.15412838337670315,0.24,False
1333,IPR002049|IPR002049|IPR000034,0.6454476892363556,1.0,3.0,1.0,1.0,0.49,False
1334,IPR002049|IPR002049|IPR000742,0.9952889979064296,0.02024775882551185,17.0,1.0,0.11396532663553348,0.03,True
1335,IPR002049|IPR002049|IPR001134,0.7468702812489645,1.0,2.0,1.0,1.0,0.86,False
1336,IPR002049|IPR002049|IPR002049,0.9639036450206185,0.1442429315316284,10.0,1.0,0.4002702616669839,0.36,False
1337,IPR002049|IPR009254,0.6454476892363556,1.0,3.0,1.0,1.0,0.5,False
1338,IPR002049|IPR009254|IPR010307,0.6454476892363556,1.0,3.0,1.0,1.0,0.46,False
1339,IPR002049|IPR056732,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.07,False
1340,IPR002058,1.0,0.002500075366293014,3.0,1.0,0.036803103753948734,0.0,True
1341,IPR002059,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.17,False
1342,IPR002059|IPR002059,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.0,True
1343,IPR002059|IPR002059|IPR002059,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.0,True
1344,IPR002059|IPR002059|IPR024642,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.0,True
1345,IPR002059|IPR024642,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.0,True
1346,IPR002068,0.6454476892363556,1.0,3.0,1.0,1.0,1.0,False
1347,IPR002072,0.7468702812489645,1.0,2.0,1.0,1.0,0.97,False
1348,IPR002073,0.955568751608276,0.12456798456295638,20.0,1.0,0.37595956555887594,0.32,False
1349,IPR002075,0.3599811304973282,1.0,7.0,1.0,1.0,1.0,False
1350,IPR002083,0.9681538835563462,0.11088890383745122,14.0,1.0,0.33840961857661744,0.37,False
1351,IPR002083|IPR000210,0.48203586763882567,1.0,5.0,1.0,1.0,0.61,False
1352,IPR002083|IPR000210|IPR034089,0.48203586763882567,1.0,5.0,1.0,1.0,0.32,False
1353,IPR002083|IPR000742,0.7468702812489645,1.0,2.0,1.0,1.0,0.69,False
1354,IPR002087,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.58,False
1355,IPR002100,0.9964042427096368,0.024214445155643746,9.0,1.0,0.13183987156924262,0.01,True
1356,IPR002100|IPR022102,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.46,False
1357,IPR002108,0.7468702812489645,1.0,2.0,1.0,1.0,1.0,False
1358,IPR002109,0.7560615614775611,0.6400188695026718,7.0,1.0,0.866381320073436,0.79,False
1359,IPR002109|IPR023753,0.7468702812489645,1.0,2.0,1.0,1.0,0.44,False
1360,IPR002109|IPR023753|IPR004099,0.7468702812489645,1.0,2.0,1.0,1.0,0.27,False
1361,IPR002121,0.9798089903994711,0.1391824346229558,5.0,1.0,0.39276659732212593,0.07,False
1362,IPR002123,0.9954607379893097,0.0229868374614462,13.0,1.0,0.12689421919155183,0.21,False
1363,IPR002123|IPR032098,0.9996609677908262,0.00898320483765095,4.0,1.0,0.08692175916880611,0.01,True
1364,IPR002126,0.9999999986840044,5.474204892108077e-09,89.0,1.0,9.753522992249117e-07,0.7,False
1365,IPR002126|IPR000233,0.9876253575770534,0.03372490771762045,34.0,1.0,0.1777977590435526,0.26,False
1366,IPR002126|IPR000742,0.999755395383494,0.004044795754185002,6.0,1.0,0.05096727829572154,0.0,True
1367,IPR002126|IPR000742|IPR000742,0.997499924633707,0.05028453472581799,3.0,1.0,0.19723458202665697,0.01,True
1368,IPR002126|IPR002126,0.9999999972122529,1.2144717650910564e-08,79.0,1.0,1.8456398853604378e-06,0.65,False
1369,IPR002126|IPR002126|IPR000233,0.9876253575770534,0.03372490771762045,34.0,1.0,0.1777977590435526,0.24,False
1370,IPR002126|IPR002126|IPR000742,0.999755395383494,0.004044795754185002,6.0,1.0,0.05096727829572154,0.0,True
1371,IPR002126|IPR002126|IPR002126,0.9999999991877533,3.914432392989772e-09,72.0,1.0,7.223525776635053e-07,0.57,False
1372,IPR002126|IPR002126|IPR045588,0.6454476892363556,1.0,3.0,1.0,1.0,0.13,False
1373,IPR002126|IPR002126|IPR056989,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.0,True
1374,IPR002126|IPR040667,0.7468702812489645,1.0,2.0,1.0,1.0,0.54,False
1375,IPR002126|IPR040667|IPR041317,0.7468702812489645,1.0,2.0,1.0,1.0,0.54,False
1376,IPR002126|IPR045588,0.5577922071864692,1.0,4.0,1.0,1.0,0.39,False
1377,IPR002126|IPR056989,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.0,True
1378,IPR002130,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.45,False
1379,IPR002138,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.67,False
1380,IPR002154,0.7022834555575872,0.6889192016541374,8.0,1.0,0.9272324863107394,0.36,False
1381,IPR002181,0.9302288290914248,0.19113074117806017,17.0,1.0,0.46495601023341643,0.79,False
